Codes,Description
A47,"FURNITURE, DOMESTIC ARTICLES OR APPLIANCES, COFFEE MILLS, SPICE MILLS, SUCTION CLEANERS IN GENERAL"
A61,"MEDICAL OR VETERINARY SCIENCE, HYGIENE"
A62,"LIFE-SAVING, FIRE-FIGHTING"
C01,INORGANIC CHEMISTRY
F16,"ENGINEERING ELEMENTS AND UNITS, GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS, THERMAL INSULATION IN GENERAL"
F24,"HEATING, RANGES, VENTILATING"
F28,HEAT EXCHANGE IN GENERAL
H01,BASIC ELECTRIC ELEMENTS
H04,ELECTRIC COMMUNICATION TECHNIQUE
B23,"MACHINE TOOLS, METAL-WORKING NOT OTHERWISE PROVIDED FOR"
B41,"PRINTING, LINING MACHINES, TYPEWRITERS, STAMPS"
D03,WEAVING
E03,"WATER SUPPLY, SEWERAGE"
C08,"ORGANIC MACROMOLECULAR COMPOUNDS, THEIR PREPARATION OR CHEMICAL WORKING-UP, COMPOSITIONS BASED THEREON"
D01,"NATURAL OR MAN-MADE THREADS OR FIBRES, SPINNING"
D21,"PAPER-MAKING, PRODUCTION OF CELLULOSE"
C07,ORGANIC CHEMISTRY
A45,HAND OR TRAVELLING ARTICLES
B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
B08,CLEANING
G04,HOROLOGY
G06,"COMPUTING, CALCULATING, COUNTING"
B65,"CONVEYING, PACKING, STORING, HANDLING THIN OR FILAMENTARY MATERIAL"
G16,INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR SPECIFIC APPLICATION FIELDS
G01,"MEASURING, TESTING"
A41,WEARING APPAREL
